Flight Time , Max Altitude, Ground Hit Velocity, Landing Latitude, Landing Longitude, Optimise Launch Angle
3.22159281949517, 8.274331005896212, 9.51968747140591, 2.0000748910351507, 2.000087155905567, 10
3.6652382069908813, 12.40271588432351, 11.178250986991328, 2.0000018516805222, 2.0000024538838517, 0
2.09856683480082, 4.12712169680591, 10.225906716067131, 2.0002142875930047, 2.0000892121255727, 0
3.224490853869503, 8.812955056109498, 9.71050983855828, 1.9998783819797104, 1.9999151354929754, 0
2.3239141299171213, 5.5042703161997855, 7.881707468253983, 2.0002457192309735, 2.00001523063203, 0
3.296369728569851, 9.254552900938664, 9.35930328249693, 1.9998171432409488, 2.00016194255604, 0
3.0571197983943765, 7.626421290111893, 12.362684737391522, 2.000020181021769, 1.999729069864864, 0
2.152071543732449, 4.456791904678213, 8.544946320908974, 1.999950395524353, 2.0002481656388156, 0
3.187115483468546, 8.365669251283737, 9.947185723624374, 1.9997507970155026, 2.000060450084468, 0
3.1873709505944188, 8.415405484274784, 11.657782922979775, 2.0001945287801344, 2.000137382644793, 0
